solver_model,n_completed_3_rollout_jobs,all_3_success_count,mixed_count,all_3_failure_count,all_3_success_rate,mixed_rate,all_3_failure_rate,mean_pass_count,mean_rollout_pass_rate,solver
anthropic/claude-sonnet-4.6,53,28,2,23,0.5283018867924528,0.03773584905660377,0.4339622641509434,1.6226415094339623,0.5408805031446541,Sonnet 4.6
openai/gpt-5.5,54,27,3,24,0.5,0.05555555555555555,0.4444444444444444,1.5740740740740742,0.5246913580246914,GPT-5.5
anthropic/claude-opus-4.7,53,23,7,23,0.4339622641509434,0.1320754716981132,0.4339622641509434,1.509433962264151,0.5031446540880502,Opus 4.7
openai/gpt-4o-mini,54,12,8,34,0.2222222222222222,0.14814814814814814,0.6296296296296297,0.9074074074074074,0.3024691358024691,GPT-4o-mini
